Reproduced,Year,Type,Primary Topic,Year Attempted,Author Code Available,Authors Reply,Rigor vs Empirical,Number of Authors,Pages,Num References,Number of Equations,Number of Proofs,Has Appendix,Looks Intimidating,Paper Readability,Algo Difficulty,Pseudo Code,Data Available,Total Tables and Figures,Number of Tables,Number of Graphs/Plots,Number of Other Figures,Conceptualization Figures,Uses Exemplar Toy Problem,Exact Compute Used,Hyperparameters Specified,Compute Needed
No,2003,Conference,Kernel/SVMs,2013,Yes,No,Balance,3,8,13,16,1,No,No,Ok,Medium,Yes,Yes,5,1,3,0,1,No,No,Yes,Desktop
Yes,2003,Conference,Kernel/SVMs,2013,Yes,N/A,Theory,2,21,20,89,0,Yes,Yes,Good,Medium,Step-Code,Yes,6,4,2,0,0,No,No,Yes,Desktop
No,2009,Conference,Kernel/SVMs,2013,No,No,Empirical,3,10,30,26,0,Yes,No,Low,High,Yes,No,9,2,6,0,1,No,Yes,Yes,Cluster
No,2007,Conference,Kernel/SVMs,2013,No,N/A,Balance,7,8,18,25,0,No,Yes,Ok,High,Yes,Yes,11,2,9,0,0,No,No,Yes,500 CPUs
No,2001,Conference,Kernel/SVMs,2013,Yes,N/A,Theory,2,8,13,25,0,No,Yes,Ok,Low,Step-Code,Yes,8,0,3,0,5,No,No,No,Desktop
Yes,1998,Book,Kernel/SVMs,2013,Yes,N/A,Balance,1,20,20,24,1,Yes,Yes,Good,Medium,Code-Like,Yes,13,10,0,1,2,No,Yes,Yes,Desktop
No,1999,Book,Kernel/SVMs,2013,Yes,N/A,Balance,1,16,11,41,0,Yes,Yes,Low,Medium,No,Yes,8,4,4,0,0,No,Yes,Yes,Desktop
Yes,1996,Journal,Ensembling,2013,Yes,N/A,Empirical,1,19,15,49,0,No,Yes,Excellent,Low,No,Yes,8,5,3,0,0,Yes,No,Yes,Desktop
Yes,2005,Conference,Ensembling,2013,Yes,N/A,Empirical,2,4,9,20,0,No,No,Good,Low,Step-Code,Yes,4,0,4,0,0,No,No,No,Desktop
Yes,2008,Journal,Embedding,2013,Yes,N/A,Balance,2,24,39,17,0,Yes,No,Ok,Medium,No,Yes,18,1,16,0,1,No,Yes,Yes,Desktop
No,2000,Conference,Embedding,2013,Yes,N/A,Balance,2,8,17,11,0,No,No,Low,Medium,Step-Code,No,11,0,9,1,1,Yes,No,No,Desktop
Yes,1994,Tech Report,Deep Learning,2013,No,N/A,Empirical,1,2,5,5,0,No,No,Excellent,Low,Yes,No,0,0,0,0,0,No,No,Yes,Desktop
Yes,2012,Journal,Deep Learning,2013,No,N/A,Empirical,5,7,19,0,0,Yes,No,Excellent,Low,No,Yes,4,0,2,2,0,No,Yes,Yes,GPU
Yes,2007,Conference,Deep Learning,2013,Yes,N/A,Empirical,4,8,16,29,0,Yes,Yes,Ok,Low,Yes,Yes,3,2,1,0,0,No,No,No,GPU
Yes,2010,Conference,Deep Learning,2013,No,N/A,Balance,2,8,20,18,0,No,Yes,Low,Low,No,Yes,20,1,17,1,1,No,No,Yes,GPU
Yes,2000,Conference,Deep Learning,2013,No,N/A,Empirical,2,7,19,18,0,No,Yes,Excellent,Low,Yes,Yes,7,1,6,0,0,No,No,Yes,Desktop
Yes,1993,Conference,Deep Learning,2013,No,N/A,Empirical,2,6,7,10,0,No,No,Good,Low,Yes,No,7,5,2,0,0,Yes,No,Yes,Desktop
Yes,2011,Conference,Deep Learning,2013,Yes,N/A,Balance,3,9,36,9,0,No,No,Excellent,Low,No,Yes,8,2,5,0,1,No,No,Yes,GPU
Yes,2013,Conference,Deep Learning,2013,Yes,N/A,Empirical,3,6,16,3,0,No,No,Excellent,Low,No,Yes,2,2,0,0,0,No,Yes,Yes,GPU
No,2006,Conference,Decision Trees,2013,Yes,N/A,Empirical,2,6,16,17,0,No,No,Low,Medium,Step-Code,Yes,6,4,1,1,0,No,Yes,No,Desktop
Yes,1993,Book,Decision Trees,2013,Yes,N/A,Empirical,1,107,60,30,0,Yes,No,Excellent,High,No,Yes,42,15,3,14,10,Yes,No,Yes,Desktop
No,2006,Conference,Other,2013,Yes,N/A,Empirical,4,8,14,0,0,No,No,Low,Low,Step-Code,No,12,1,8,3,0,No,No,Partial,Desktop
Yes,2007,Journal,Clustering,2013,Yes,N/A,Empirical,2,15,31,11,0,No,No,Excellent,Low,No,Yes,15,1,13,0,1,Yes,No,Yes,Desktop
Yes,2007,Conference,Clustering,2013,No,N/A,Theory,2,11,12,53,8,No,Yes,Excellent,Low,Step-Code,Yes,4,4,0,0,0,No,No,Yes,Desktop
No,2005,Conference,Clustering,2013,Yes,N/A,Theory,2,8,19,49,3,Yes,Yes,Low,Medium,Step-Code,Yes,4,1,1,1,1,Yes,No,No,Desktop
Yes,2010,Conference,Clustering,2013,Yes,N/A,Empirical,1,2,6,3,0,No,No,Excellent,Low,Yes,Yes,4,1,3,0,0,No,Yes,Yes,Desktop
Yes,2009,Conference,Classification,2013,Yes,N/A,Theory,2,8,25,62,3,No,No,Good,Low,Yes,Yes,6,0,6,0,0,No,No,Yes,Desktop
No,2005,Journal,Bayesian,2013,Yes,N/A,Theory,2,18,32,61,4,Yes,Yes,Ok,Medium,Step-Code,Yes,15,3,8,4,0,Yes,No,Yes,Desktop
No,2003,Conference,Bayesian,2013,Yes,No,Theory,2,13,12,34,0,Yes,Yes,Low,High,Step-Code,Yes,8,0,8,0,0,No,No,Yes,Desktop
No,2012,Conference,Topic Modeling,2014,Yes,N/A,Balance,2,16,20,48,3,No,Yes,Ok,High,Yes,Yes,38,1,34,3,0,No,Yes,No,Cluster
No,2012,Conference,Topic Modeling,2014,No,N/A,Balance,3,8,18,30,0,Yes,No,Low,High,Step-Code,Yes,9,1,8,0,0,No,No,Yes,Desktop
No,2009,Book,Topic Modeling,2014,Yes,No,Balance,2,24,41,29,0,No,No,Low,High,Step-Code,Yes,9,0,0,7,2,No,No,Yes,Desktop
No,2007,Conference,Optimization,2014,No,N/A,Theory,4,10,43,79,5,Yes,No,Ok,Medium,Step-Code,Yes,31,3,26,1,1,No,Yes,Yes,Cluster
Yes,2007,Conference,Optimization,2014,Yes,N/A,Theory,2,8,18,32,3,Yes,Yes,Ok,High,Yes,Yes,8,2,6,0,0,No,No,No,Desktop
No,2010,Conference,Online Classification,2014,No,N/A,Theory,2,9,18,60,3,Yes,Yes,Low,Low,Yes,Yes,13,0,13,0,0,Yes,No,No,Desktop
No,2008,Conference,Online Classification,2014,Yes,N/A,Theory,3,9,14,49,0,No,No,Low,Low,Yes,Yes,8,3,5,0,0,No,No,Yes,Desktop
No,2013,Conference,Non-Linear Other,2014,No,N/A,Balance,3,16,28,32,1,Yes,Yes,Low,Medium,Yes,Yes,8,2,6,0,0,Yes,Yes,Yes,Desktop
No,2011,Tech Report,Linear Models,2014,Yes,No,Empirical,4,22,35,35,0,No,No,Good,High,Yes,Yes,11,5,6,0,0,No,No,No,Cluster
No,2009,Journal,Linear Models,2014,Yes,N/A,Balance,3,17,18,50,1,Yes,No,Ok,Medium,Yes,Yes,14,6,8,0,0,No,No,Yes,Desktop
Yes,2013,Conference,Kernel/SVMs,2014,No,N/A,Theory,5,8,29,64,4,Yes,Yes,Good,Low,Yes,Yes,5,5,0,0,0,No,No,Yes,Desktop
No,2009,Conference,Kernel/SVMs,2014,No,N/A,Balance,2,9,25,40,0,Yes,No,Low,Low,No,Yes,10,0,4,6,0,No,No,No,Desktop
No,2011,Conference,Ensembling,2014,No,N/A,Theory,2,9,11,43,3,No,No,Low,Medium,Yes,Yes,5,2,3,0,0,No,No,No,Desktop
No,2008,Conference,Ensembling,2014,No,N/A,Theory,2,8,10,53,1,Yes,Yes,Low,High,Step-Code,Yes,7,4,3,0,0,No,No,No,Desktop
Yes,2014,Conference,Ensembling,2014,No,N/A,Empirical,2,9,18,12,0,No,No,Excellent,Medium,Yes,Yes,17,3,14,0,0,No,No,Yes,Desktop
No,2012,Conference,NLP,2014,No,N/A,Theory,7,7,37,36,1,No,Yes,Low,Low,Yes,Yes,8,4,4,0,0,No,No,No,Desktop
Yes,2006,Journal,Decision Trees,2014,Yes,N/A,Empirical,1,13,14,7,0,Yes,No,Excellent,Medium,No,Yes,7,5,2,0,0,Yes,No,Yes,Desktop
No,2014,Conference,Decision Trees,2014,Yes,N/A,Theory,3,11,19,69,0,Yes,No,Low,High,Yes,Yes,11,0,8,0,3,Yes,No,Yes,Desktop
Yes,2009,Tech Report,Concept Drift,2014,Yes,N/A,Empirical,2,12,16,6,0,No,No,Excellent,Medium,Yes,Yes,7,2,5,0,0,Yes,No,Yes,Desktop
Yes,2007,Conference,Concept Drift,2014,Yes,N/A,Balance,2,16,17,15,1,Yes,No,Good,Medium,Yes,Yes,16,12,4,0,0,Yes,Yes,Yes,Desktop
Yes,2006,Conference,Concept Drift,2014,Yes,N/A,Empirical,6,10,15,11,0,No,No,Excellent,Low,No,Yes,15,3,12,0,0,Yes,No,Yes,Desktop
Yes,2004,Conference,Concept Drift,2014,Yes,N/A,Empirical,4,10,12,7,0,No,No,Excellent,Low,No,Yes,8,2,5,0,1,Yes,No,Yes,Desktop
No,2007,Journal,Clustering,2014,No,N/A,Theory,1,32,67,155,5,No,No,Low,Medium,Step-Code,No,49,0,43,2,4,Yes,No,No,Desktop
Yes,2015,Conference,Search/Retrieval,2015,Yes,Yes,Balance,2,9,21,22,0,No,No,Ok,High,Yes,Yes,11,2,8,0,1,Yes,Yes,Yes,Desktop
No,2015,Conference,Optimization,2015,No,N/A,Theory,6,10,34,68,9,Yes,Yes,Ok,High,Yes,Yes,19,2,17,0,0,No,No,No,Cluster
No,2014,Conference,Optimization,2015,No,Yes,Balance,7,9,30,30,5,Yes,No,Ok,High,Yes,Yes,10,1,9,0,0,No,No,Yes,Cluster
No,2015,Conference,Optimization,2015,Yes,N/A,Balance,2,7,17,46,0,Yes,No,Good,Medium,Yes,Yes,2,0,2,0,0,No,No,Yes,GPU
Yes,2012,Conference,Optimization,2015,No,N/A,Balance,2,25,34,31,0,No,No,Excellent,Low,No,Yes,40,0,37,2,1,Yes,No,Yes,Desktop
No,2013,Conference,Linear Models,2015,No,N/A,Theory,5,12,31,81,5,Yes,Yes,Ok,High,Step-Code,Yes,15,2,13,0,0,No,Yes,Yes,Desktop
Yes,2014,Journal,Dimension Reduction,2015,Yes,No,Empirical,1,24,67,30,0,No,No,Ok,High,No,Yes,12,0,4,6,2,No,Yes,Yes,Desktop
Yes,2000,Journal,Dimension Reduction,2015,Yes,N/A,Empirical,3,4,37,17,0,No,No,Good,Low,Step-Code,Yes,12,0,4,5,3,Yes,No,Yes,Desktop
No,2002,Conference,Dimension Reduction,2015,Yes,No,Balance,2,7,11,16,0,No,No,Low,Low,No,Yes,2,0,0,2,0,No,No,Yes,Desktop
Yes,2013,Tech Report,Deep Learning,2015,Yes,N/A,Balance,1,43,33,78,0,No,Yes,Good,High,No,Yes,24,4,0,15,5,No,No,Yes,GPU
Yes,2015,Conference,Deep Learning,2015,Yes,N/A,Empirical,2,9,24,54,0,No,No,Good,Medium,Yes,Yes,6,2,4,0,0,No,No,Yes,GPU
Yes,2015,Conference,Deep Learning,2015,Yes,N/A,Empirical,4,11,34,49,0,No,Yes,Excellent,Low,No,Yes,36,7,4,25,0,No,Yes,Yes,GPU
Yes,2013,Conference,Deep Learning,2015,No,N/A,Balance,3,10,25,47,0,Yes,Yes,Excellent,Medium,Step-Code,Yes,9,2,1,0,6,Yes,No,Yes,GPU
Yes,2016,Conference,Deep Learning,2015,No,N/A,Empirical,4,9,45,36,0,No,No,Excellent,Low,No,Yes,10,8,0,1,1,No,No,Yes,GPU
No,2009,Conference,Deep Learning,2015,Yes,N/A,Empirical,2,8,15,26,0,No,No,Low,High,Step-Code,Yes,6,0,4,2,0,No,No,Yes,Desktop
Yes,2012,Conference,Deep Learning,2015,Yes,N/A,Empirical,3,9,26,12,0,No,No,Good,Low,No,Yes,6,2,1,2,1,No,Yes,Yes,GPU
Yes,2015,Conference,Deep Learning,2015,Yes,N/A,Empirical,2,10,34,7,0,Yes,No,Ok,Low,No,Yes,7,7,0,0,0,No,No,Yes,GPU
Yes,2013,Conference,Clustering,2015,No,N/A,Balance,3,13,24,36,1,No,Yes,Ok,High,Step-Code,Yes,3,1,0,0,2,Yes,No,Yes,Desktop
Yes,2015,Book,Clustering,2015,Yes,Yes,Balance,2,37,41,94,0,No,No,Good,High,Code-Like,Yes,36,5,29,0,2,No,Yes,Yes,Desktop
Yes,2013,Conference,NLP,2016,Yes,N/A,Empirical,4,12,32,16,0,No,No,Ok,High,No,Yes,9,8,0,0,1,No,No,Yes,Desktop
Yes,2016,Journal,Deep Learning,2016,No,N/A,Theory,8,35,62,100,0,No,Yes,Excellent,Low,No,Yes,36,5,18,4,9,Yes,No,Yes,GPU
Yes,2004,Journal,Search/Retrieval,2016,No,N/A,Balance,5,15,48,132,6,Yes,No,Excellent,Low,No,Yes,5,0,5,0,0,No,No,Yes,Desktop
Yes,2016,Conference,Search/Retrieval,2016,Yes,N/A,Theory,2,9,26,72,7,Yes,Yes,Low,High,Code-Like,Yes,6,0,3,0,3,No,No,Yes,Desktop
Yes,1997,Conference,Search/Retrieval,2016,No,N/A,Theory,1,9,10,59,1,No,Yes,Good,Low,No,No,0,0,0,0,0,Yes,No,Yes,Desktop
Yes,2013,Conference,Search/Retrieval,2016,Yes,Yes,Balance,6,9,21,98,0,No,Yes,Low,High,Yes,Yes,1,0,0,0,1,No,No,Yes,Desktop
No,2016,Workshop,Parallel Learning,2016,Yes,Yes,Theory,4,10,36,51,11,Yes,Yes,Low,Medium,Yes,Yes,12,2,10,0,0,No,Yes,Yes,Cluster
No,2012,Journal,Outlier Detection,2016,No,No,Theory,2,37,41,352,9,No,Yes,Good,Medium,No,Yes,18,7,11,0,0,Yes,No,No,Desktop
Yes,2008,Conference,Outlier Detection,2016,No,N/A,Empirical,3,10,14,24,0,No,Yes,Good,Medium,Yes,Yes,14,3,8,0,3,Yes,Yes,Yes,Desktop
Yes,2002,Conference,Other,2016,No,N/A,Empirical,2,6,25,45,0,No,No,Good,Medium,No,Yes,15,5,10,0,0,No,No,Yes,Desktop
No,2016,Conference,Optimization,2016,No,No,Theory,2,9,21,111,19,Yes,Yes,Low,High,Yes,Yes,8,2,6,0,0,No,Yes,No,Desktop
Yes,2016,Journal,Online Classification,2016,Yes,N/A,Balance,3,38,51,161,11,Yes,Yes,Excellent,Low,Yes,Yes,37,8,29,0,0,No,Yes,Yes,Desktop
Yes,2014,Conference,Non-Linear Other,2016,Yes,N/A,Balance,6,9,20,49,1,Yes,Yes,Good,Medium,Yes,Yes,4,1,1,0,2,No,No,Yes,Desktop
No,2016,Conference,Linear Models,2016,No,N/A,Theory,1,8,19,166,8,Yes,Yes,Low,Medium,Yes,Yes,0,0,0,0,0,No,No,No,Desktop
Yes,2013,Conference,Linear Models,2016,Yes,N/A,Theory,2,9,25,158,7,Yes,Yes,Good,High,Yes,Yes,13,1,12,0,0,No,No,Yes,Desktop
Yes,2014,Conference,Kernel/SVMs,2016,Yes,Yes,Balance,3,9,28,54,4,Yes,Yes,Ok,High,Yes,Yes,24,4,20,0,0,No,Yes,Yes,Desktop
No,2012,Conference,Graph Classification,2016,No,Yes,Balance,2,8,17,28,0,No,No,Ok,High,Yes,Yes,7,4,3,0,0,No,No,No,Desktop
Yes,2000,Conference,Graph Classification,2016,No,N/A,Empirical,2,8,16,0,0,No,No,Excellent,Medium,Yes,Yes,8,2,4,1,1,Yes,No,No,Desktop
Yes,2013,Conference,Feature Importanace,2016,No,N/A,Theory,4,9,20,42,7,Yes,Yes,Good,Medium,No,Yes,4,2,1,1,0,Yes,No,No,Desktop
Yes,2015,Journal,Feature Engineering,2016,Yes,N/A,Balance,4,27,45,65,0,No,No,Excellent,Low,Code-Like,Yes,13,3,9,1,0,No,Yes,Yes,Desktop
No,2016,Conference,Feature Engineering,2016,No,No,Theory,1,35,20,419,23,No,Yes,Ok,Low,Yes,Yes,2,0,1,0,1,No,No,No,Desktop
Yes,2009,Conference,Feature Engineering,2016,No,N/A,Theory,5,7,12,60,5,Yes,Yes,Ok,Low,No,No,3,0,2,0,1,No,No,No,Desktop
Yes,2009,Conference,Feature Engineering,2016,No,N/A,Balance,7,8,20,60,2,No,No,Low,Low,No,Yes,9,4,5,0,0,No,No,No,Desktop
Yes,2011,Conference,Feature Engineering,2016,Yes,N/A,Balance,6,7,13,13,2,Yes,No,Good,Medium,No,Yes,7,2,4,1,0,No,No,Yes,GPU
Yes,2016,Conference,Dimension Reduction,2016,Yes,N/A,Empirical,4,11,28,29,0,No,No,Good,High,Code-Like,Yes,30,2,27,0,1,No,Yes,Yes,Desktop
Yes,1997,Journal,Deep Learning,2016,No,N/A,Empirical,2,9,17,31,0,No,No,Good,Medium,Step-Code,Yes,9,3,2,0,4,Yes,No,Yes,Desktop
Yes,2016,Conference,Deep Learning,2016,Yes,N/A,Balance,3,11,35,50,3,Yes,No,Good,Low,No,Yes,21,1,20,0,0,No,Yes,Yes,GPU
Yes,2014,Conference,Deep Learning,2016,Yes,N/A,Balance,8,9,29,36,3,No,Yes,Good,High,Yes,Yes,11,2,0,5,4,Yes,No,No,GPU
Yes,2016,Conference,Deep Learning,2016,No,N/A,Theory,2,9,30,39,0,No,No,Good,High,No,Yes,9,1,7,0,1,No,No,Yes,GPU
Yes,2010,Conference,Deep Learning,2016,No,N/A,Empirical,4,7,31,28,0,No,No,Low,High,Yes,Yes,7,1,1,4,1,No,No,Yes,GPU
Yes,2015,Conference,Deep Learning,2016,Yes,N/A,Empirical,3,9,42,14,0,Yes,No,Good,Low,No,Yes,13,5,2,2,4,No,No,Yes,GPU
Yes,2015,Conference,Deep Learning,2016,No,N/A,Empirical,4,9,50,12,0,Yes,No,Excellent,Low,No,Yes,18,8,7,0,3,No,No,Yes,GPU
Yes,2016,Conference,Deep Learning,2016,No,N/A,Empirical,5,11,33,11,0,Yes,No,Excellent,Low,No,Yes,15,5,8,1,1,Yes,No,Yes,GPU
Yes,2011,Tech Report,Clustering,2016,No,N/A,Balance,1,29,31,76,4,No,No,Good,High,Yes,No,9,5,3,0,1,Yes,No,Yes,Desktop
No,2016,Journal,Clustering,2016,No,N/A,Theory,5,12,36,27,6,No,Yes,Low,Medium,Yes,Yes,15,5,10,0,0,Yes,Yes,Yes,Cluster
No,2002,Journal,Clustering,2016,No,N/A,Balance,3,13,64,99,0,Yes,Yes,Ok,High,Yes,No,33,1,32,0,0,Yes,No,Yes,Desktop
No,2006,Journal,Clustering,2016,No,N/A,Theory,2,14,46,90,0,No,Yes,Low,High,No,No,18,2,10,6,0,Yes,No,No,Desktop
No,2016,Conference,Clustering,2016,No,N/A,Theory,4,17,30,94,9,Yes,Yes,Good,Low,Yes,Yes,4,2,2,0,0,No,No,No,Desktop
Yes,2016,Conference,Clustering,2016,Yes,Yes,Balance,2,9,13,80,3,No,Yes,Good,Medium,Yes,Yes,7,3,2,0,2,Yes,Yes,Yes,Desktop
No,2016,Conference,Clustering,2016,No,No,Theory,4,9,18,63,1,Yes,No,Ok,Low,Yes,Yes,15,3,12,0,0,No,No,Yes,Desktop
No,2000,Conference,Clustering,2016,No,N/A,Theory,1,7,9,34,0,No,No,Low,High,No,No,3,0,2,1,0,Yes,No,No,Desktop
Yes,2011,Book,Clustering,2016,No,N/A,Balance,2,21,69,45,0,No,No,Good,High,Step-Code,No,2,0,0,0,2,Yes,No,Yes,Desktop
Yes,2000,Journal,Search/Retrieval,2017,Yes,N/A,Balance,3,22,39,31,3,Yes,No,Ok,High,No,No,17,0,8,8,1,Yes,Yes,Yes,Desktop
Yes,2010,Conference,Search/Retrieval,2017,No,Yes,Theory,1,10,13,176,2,No,Yes,Good,Medium,Yes,No,4,0,3,0,1,No,No,Yes,Desktop
Yes,2000,Conference,Search/Retrieval,2017,No,N/A,Theory,1,9,20,33,0,No,Yes,Good,High,No,No,13,3,0,0,10,Yes,No,Yes,Desktop
Yes,2015,Conference,Parallel Learning,2017,Yes,N/A,Balance,3,10,29,53,10,Yes,Yes,Ok,Medium,Yes,Yes,15,3,12,0,0,No,Yes,Yes,Server
No,2014,Conference,Parallel Learning,2017,Yes,Yes,Theory,7,9,30,34,5,Yes,No,Low,Medium,Step-Code,Yes,10,1,9,0,0,No,Yes,Yes,Cluster
No,2015,Conference,Parallel Learning,2017,No,No,Balance,5,9,26,66,1,Yes,Yes,Ok,Low,Step-Code,Yes,19,1,18,0,0,No,Yes,Yes,Desktop
Yes,2011,Conference,Parallel Learning,2017,Yes,N/A,Balance,4,6,27,40,1,Yes,No,Low,Low,No,Yes,7,1,6,0,0,No,Yes,Yes,Server
Yes,2016,Conference,Optimization,2017,Yes,N/A,Empirical,7,11,41,2,0,No,No,Excellent,Low,No,Yes,10,6,2,2,0,No,No,Yes,GPU
No,2017,Journal,Feature Engineering,2017,Yes,No,Balance,3,32,43,175,3,No,Yes,Low,High,Step-Code,Yes,47,8,39,0,0,No,Yes,Yes,Desktop
No,2016,Conference,Fairness,2017,No,No,Theory,2,12,26,31,1,Yes,Yes,Low,High,Yes,Yes,10,0,9,1,0,Yes,No,Yes,GPU
No,2016,Conference,Fairness,2017,No,No,Empirical,5,10,18,51,0,Yes,No,Low,High,No,Yes,18,2,13,3,0,No,No,No,GPU
No,2017,Conference,Fairness,2017,Yes,N/A,Theory,4,5,14,42,0,No,Yes,Low,Medium,No,Yes,8,0,8,0,0,No,No,No,Desktop
No,2013,Conference,Fairness,2017,No,No,Empirical,5,9,12,42,0,No,No,Low,High,No,Yes,8,0,8,0,0,No,No,Partial,GPU
Yes,2017,Conference,Deep Learning,2017,Yes,N/A,Theory,3,10,23,59,15,Yes,Yes,Ok,Low,Yes,Yes,18,0,13,2,3,Yes,No,No,GPU
Yes,2017,Conference,Clustering,2017,Yes,Yes,Balance,2,9,15,59,10,Yes,No,Good,Low,Yes,Yes,6,2,2,0,2,No,No,No,Desktop
Yes,2005,Conference,Class Imbalance,2017,No,N/A,Empirical,3,10,25,9,0,No,No,Good,Medium,No,Yes,13,2,8,0,3,Yes,No,Yes,Desktop
Yes,2017,Conference,Other,2017,Yes,N/A,Empirical,2,12,41,50,0,No,Yes,Good,Low,No,Yes,3,0,2,1,0,No,No,Yes,GPU